1,1,
1,23937,
2,2,
2,23938,
3,3,
3,23939,
4,4,
4,23940,
5,5,Źiwadło
5,23941,Źiwadło
6,6,Tema
6,23942,Tema
7,7,Teorija
7,23943,Teorija
8,8,a
8,23944,a
9,9,Ah
9,23945,Ah
10,10,Abaza
10,23946,Abaza
11,11,Abazian
11,23947,Abazian
12,12,Abbot
12,23948,Abbot
13,13,Abatysa
13,23949,Abatysa
14,14,Abessinski
14,23950,Abessinski
15,15,Abessinski
15,23951,Abessinski
16,16,abo
16,23952,abo
17,17,Abrakadabra
17,23953,Abrakadabra
18,18,Nanejmjenjej
18,19,Za
18,23954,Nanejmjenjej
18,23955,Za
19,20,--
19,23956,--
20,21,Jadrańske mórjo
20,23957,Jadrańske mórjo
21,22,Jo
21,23958,Jo
22,23,Hej
22,23959,Hej
23,24,Ah
23,23960,Ah
24,25,Gaž
24,23961,Gaž
25,26,"Ale, weto"
25,23962,"Ale, weto"
26,27,Aleksander
26,23963,Aleksander
27,28,Alex
27,23964,Alex
28,29,Alpy
28,23965,Alpy
29,30,Allah
29,23966,Allah
30,31,Haleluja
30,23967,Haleluja
31,32,Ale
31,23968,Ale
32,33,Andorra
32,23969,Andorra
33,34,Handrij
33,23970,Handrij
34,35,Kólnja
34,23971,Kólnja
35,36,Antichryst
35,23972,Antichryst
36,37,Cakajucy
36,23973,Cakajucy
37,38,Apoštoł
37,23974,Apoštoł
38,39,Araby
38,23975,Araby
39,40,Arcyangelsk
39,23976,Arcyangelsk
40,41,Archimandrit
40,23977,Archimandrit
41,42,Arsen
41,23978,Arsen
42,43,Astrachan
42,23979,Astrachan
43,44,Ataman
43,23980,Ataman
44,45,Atom
44,23981,Atom
45,46,Atyrau
45,23982,Atyrau
46,47,I
46,48,I
46,23983,I
46,23984,I
47,49,Samo
47,23985,Samo
48,50,Alfabet
48,23986,Alfabet
49,51,Alfabet
49,23987,Alfabet
50,52,Azerbajdžan
50,23988,Azerbajdžan
51,53,Starka
51,23989,Starka
52,54,Starka
52,23990,Starka
53,55,Starka
53,23991,Starka
54,56,Bagno
54,23992,Bagno
55,57,Bayan
55,23993,Bayan
56,58,Bayanist
56,23994,Bayanist
57,59,Balalajka
57,23995,Balalajka
58,60,Balty
58,23996,Balty
59,61,Kupjelny dom
59,23997,Kupjelny dom
60,62,Banana
60,23998,Banana
61,63,Banjo
61,23999,Banjo
62,64,Mandolina
62,65,Bandura
62,24000,Mandolina
62,24001,Bandura
63,66,Połnoc
63,24002,Połnoc
64,67,Bara
64,24003,Bara
65,68,Bahno
65,24004,Bahno
66,69,Wjelgin
66,24005,Wjelgin
67,70,Bas
67,24006,Bas
68,71,Baseń
68,24007,Baseń
69,72,Cello
69,24008,Cello
70,73,Bratš (staršy)
70,24009,Bratš (staršy)
71,74,Brěmjeńka
71,24010,Brěmjeńka
72,75,Brěmjeńka
72,24011,Brěmjeńka
73,76,Pómałem
73,24012,Pómałem
74,77,Wiki
74,24013,Wiki
75,78,Bog
75,24014,Bog
76,79,Pcołka
76,24015,Pcołka
77,80,Pcołkaŕ
77,24016,Pcołkaŕ
78,81,Pcołkaŕ
78,24017,Pcołkaŕ
79,82,Pcołkaŕstwo
79,24018,Pcołkaŕstwo
80,83,Baby
80,24019,Baby
81,84,Rozgórjenje
81,24020,Rozgórjenje
82,85,Bywaj chudšy
82,24021,Bywaj chudšy
83,86,Mizera
83,87,Chudoba
83,24022,Mizera
83,24023,Chudoba
84,88,Chudoba
84,24024,Chudoba
85,89,Chudy
85,24025,Chudy
86,90,Nadkoleno
86,24026,Nadkoleno
87,91,Katastrofa
87,24027,Katastrofa
88,92,Běž
88,24028,Běž
89,93,Běgaŕ
89,24029,Běgaŕ
90,94,Běž
90,24030,Běž
91,95,Wittenberge
91,96,Saratov
91,24031,Wittenberge
91,24032,Saratov
92,97,Belgorod
92,24033,Belgorod
93,98,Běłogór
93,24034,Běłogór
94,99,Běła barwa
94,24035,Běła barwa
95,100,Belgiska
95,24036,Belgiska
96,101,Běły kamjeń
96,24037,Běły kamjeń
97,102,Běłoruska
97,24038,Běłoruska
98,103,Běłoruski
98,24039,Běłoruski
99,104,Běłorusi
99,24040,Běłorusi
100,105,Běły
100,24041,Běły
101,106,Bencin
101,24042,Bencin
102,107,Barliń
102,24043,Barliń
103,108,Demon
103,24044,Demon
104,109,Imp
104,24045,Imp
105,110,Rozgrono
105,24046,Rozgrono
106,111,Beton
106,24047,Beton
107,112,Beton
107,24048,Beton
108,113,Bźez
108,24049,Bźez
109,114,Njelicobne
109,24050,Njelicobne
110,115,Bźeze źiśi
110,24051,Bźeze źiśi
111,116,Bźeze źiśi
111,24052,Bźeze źiśi
112,117,Bźeze źiśi
112,24053,Bźeze źiśi
113,118,Bźezdomny
113,24054,Bźezdomny
114,119,Bźezdomny
114,24055,Bźezdomny
115,120,Běgaŕ
115,24056,Běgaŕ
116,121,Běž
116,24057,Běž
117,122,Bźez głosa
117,123,Bźez głosa
117,24058,Bźez głosa
117,24059,Bźez głosa
118,124,Bźez głowy
118,125,Bźez głowy
118,24060,Bźez głowy
118,24061,Bźez głowy
119,126,Bźezkóńcnosć
119,24062,Bźezkóńcnosć
120,127,Bźezgranicnosć
120,24063,Bźezgranicnosć
121,128,Bźezkóńcne
121,24064,Bźezkóńcne
122,129,Bźez nosa
122,24065,Bźez nosa
123,130,Bźez nosa
123,24066,Bźez nosa
124,131,Zabywajucy
124,24067,Zabywajucy
125,132,Zabyśe
125,24068,Zabyśe
126,133,Njestarosćiwosć
126,24069,Njestarosćiwosć
127,134,Bźez płodow
127,24070,Bźez płodow
128,135,Njeměrne
128,24071,Njeměrne
129,136,Bźez kórjenjow
129,24072,Bźez kórjenjow
130,137,Bźez ruki
130,24073,Bźez ruki
131,138,Bźeze cwiblowanja
131,24074,Bźeze cwiblowanja
132,139,Błudny
132,24075,Błudny
133,140,Błudny
133,24076,Błudny
134,141,Błudnosć
134,24077,Błudnosć
135,142,Měr
135,24078,Měr
136,143,Bźez kósma
136,24079,Bźez kósma
137,144,Bźeze wódy
137,24080,Bźeze wódy
138,145,Bźezrěpowy
138,24081,Bźezrěpowy
139,146,Bźez zubow
139,24082,Bźez zubow
140,147,Bźez zubow
140,24083,Bźez zubow
141,148,By
141,24084,By
142,149,Biblija
142,24085,Biblija
143,150,Miliardy
143,24086,Miliardy
144,151,Beat
144,24087,Beat
145,152,Beat
145,24088,Beat
146,153,Bitwa
146,24089,Bitwa
147,154,Bitwa
147,24090,Bitwa
148,155,Wójowańske sceniske
148,24091,Wójowańske sceniske
149,156,Pśedewześe
149,24092,Pśedewześe
150,157,Źěkujom se.
150,24093,Źěkujom se.
151,158,Źěkujom se.
151,24094,Źěkujom se.
152,159,Źěkowny
152,24095,Źěkowny
153,160,Gratulěrujom
153,24096,Gratulěrujom
154,161,Eufemizm
154,24097,Eufemizm
155,162,Bagno
155,24098,Bagno
156,163,Clown
156,24099,Clown
157,164,Blede
157,24100,Blede
158,165,Błyšć
158,24101,Błyšć
159,166,Błysk
159,24102,Błysk
160,167,Zacyń
160,24103,Zacyń
161,168,Zacyń
161,169,Zacyń
161,24104,Zacyń
161,24105,Zacyń
162,170,Dwójnika
162,24106,Dwójnika
163,171,Pokład
163,24107,Pokład
164,172,Smilstwo
164,24108,Smilstwo
165,173,Drogowaś
165,174,Drogowaś
165,24109,Drogowaś
165,24110,Drogowaś
166,175,Talar
166,24111,Talar
167,176,Skazuj
167,24112,Skazuj
168,177,Sica
